holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
1-а міська клінічна лікарня  ім.Князя Лева КП,Шевченківський,Варшавська,56,168,Ш-9437-15,24.02.2015,23.02.2018,1 грн. в рік
1-а міська клінічна лікарня  ім.Князя Лева КП,Шевченківський,Грiнченка Б.,6,85.2,Ш-10016-16,22.03.2016,20.03.2019,1 грн. в рік
1-а міська клінічна лікарня  ім.Князя Лева КП,Шевченківський,Лiнкольна А.,53,261.9,Ш-9021-14,23.06.2014,06.05.2017,1 грн. в рік
1-а міська клінічна лікарня  ім.Князя Лева КП,Шевченківський,Панча П.,16,237.9,Ш-10006-16,03.03.2016,03.03.2017,1 грн. в рік освіта
4-та мiська клiнiчна лiкарня,Галицький,Стецька Я.,5,149.9,Г-10062-16,22.04.2016,21.04.2019,1 грн. в рік
4-та мiська клiнiчна лiкарня,Сихівський,Тернопiльська,9,178.2,С-10045-16(Д-16),01.07.2016,07.04.2019,1 грн. в рік
АВАРІЙНА СЛУЖБА  ЛКП Франківський р-н,Франківський,Наукова,49,287.9,Ф-9965-16,03.02.2016,02.02.2019,1 грн. в рік
АВЕРС  ТзОВ,Сихівський,Бiлоцеркiвська, 2а,171.4,С-7365-9,26.11.2009,26.11.2019,1 грн. в рік
АВЕРС  ТзОВ,Галицький,Михальчука I.-В.,3,98.3,Г-7270-9,17.08.2009,17.08.2019,1 грн. в рік
Автопрофі Автошкола ТзОВ,Франківський,Скiсна,1,80.5,Ф-9772-15,09.09.2015,03.09.2018,627
АВТОШЛЯХОВИЙ технікум,Личаківський,Личакiвська,2,118.2,Л-6304-8,11.06.2008,10.06.2011,1 грн. за кв. м. в рік
Агарков О. В.,Личаківський,Харкiвська,34,34.9,Л-9756-15,19.08.2015,18.08.2018,528.22
Агенція з підготовки подій ЛКП,Личаківський,Левицького К.,67,8,Л-9332-14,30.12.2014,29.12.2017,1 грн. в рік
Агенція місцевого економ.розвитку Яворівщини ГС,Личаківський,Лисенка М.,38,32.4,Л-9720-15,28.07.2015,27.07.2018,454.7
АГЕНЦІЯ РЕСУРСІВ ЛМР  ЛКП,Галицький,Бандери С.,4,15.3,Г-8879-13,04.12.2013,03.12.2016,1 грн. в рік
АГЕНЦІЯ РЕСУРСІВ ЛМР  ЛКП,Галицький,Староєврейська, 7а,50.3,Г-8709-13,22.07.2013,21.07.2016,1 грн. в рік
Агонда ТзОВ,Галицький,Дудаєва Дж.,2,83.1,Г-10433-17,12.01.2017,10.01.2020,12865.99
Адамантос ПП,Галицький,Городоцька,117,57.6,Г-9493-15,12.03.2015,11.03.2018,1843
АДВОКАТ   ГПО Личаківського р-ну,Галицький,Ринок пл.,16,34.8,Г-4110-6 дод,22.02.2006,28.01.2017,3017.03
Адміністративно-господарське управління ЛМР,Личаківський,Пекарська,41,266.5,Л-9979-16,17.02.2016,16.02.2019,1 грн. в рік
Адміністративно-господарське управління ЛМР,Шевченківський,Хвильового М., 14а,176.2,Ш-9978-16,17.02.2016,16.02.2019,1 грн. в рік
Адміністративно-господарське управління ЛМР,Сихівський,Червоної Калини, 72а,253.9,С-9851-15,08.10.2015,07.10.2018,1 грн. в рік
